Date,Value
1995-01-31,16.55
1994-12-31,15.88
1994-11-30,17.3
1994-10-31,16.43
1994-09-30,15.85
1994-08-31,16.82
1994-07-31,17.63
1994-06-30,16.74
1994-05-31,16.26
1994-04-30,15.15
1994-03-31,13.88
1994-02-28,13.75
1994-01-31,14.22
1993-12-31,13.56
1993-11-30,15.08
1993-10-31,16.56
1993-09-30,15.99
1993-08-31,16.71
1993-07-31,16.76
1993-06-30,17.59
1993-05-31,18.51
1993-04-30,18.63
1993-03-31,18.75
1993-02-28,18.48
1993-01-31,17.35
1992-12-31,18.15
1992-11-30,19.15
1992-10-31,20.26
1992-09-30,20.31
1992-08-31,19.77
1992-07-31,20.34
1992-06-30,21.28
1992-05-31,20.03
1992-04-30,19.06
1992-03-31,17.59
1992-02-29,18.48
1992-01-31,18.55
1991-12-31,18.28
1991-11-30,21.0
1991-10-31,22.25
1991-09-30,20.48
1991-08-31,19.73
1991-07-31,19.42
1991-06-30,18.08
1991-05-31,19.16
1991-04-30,19.13
1991-03-31,19.13
1991-02-28,19.58
1991-01-31,23.54
1990-12-31,28.32
1990-11-30,33.2
1990-10-31,36.09
1990-09-30,35.03
1990-08-31,27.32
1990-07-31,17.14
1990-06-30,15.05
1990-05-31,16.34
1990-04-30,16.49
1990-03-31,18.37
1990-02-28,19.93
1990-01-31,21.25
1989-12-31,19.85
1989-11-30,19.21
1989-10-31,19.03
1989-09-30,17.8
1989-08-31,17.12
1989-07-31,17.69
1989-06-30,17.57
1989-05-31,18.46
1989-04-30,19.87
1989-03-31,18.68
1989-02-28,16.74
1989-01-31,16.96
1988-12-31,15.1
1988-11-30,12.92
1988-10-31,12.28
1988-09-30,13.35
1988-08-31,15.0
1988-07-31,14.94
1988-06-30,15.59
1988-05-31,16.42
1988-04-30,16.62
1988-03-31,14.79
1988-02-29,15.76
1988-01-31,16.93
1987-12-31,17.42
1987-11-30,17.9
1987-10-31,18.85
1987-09-30,18.39
1987-08-31,19.07
1987-07-31,19.83
1987-06-30,18.85
1987-05-31,18.75
1987-04-30,18.45
1987-03-31,17.89
1987-02-28,17.35
1987-01-31,18.48
1986-12-31,15.76
1986-11-30,14.53
1986-10-31,13.88
1986-09-30,14.22
1986-08-31,13.47
1986-07-31,9.56
1986-06-30,11.9
1986-05-31,14.05
1986-04-30,12.48
1986-03-31,13.85
1986-02-28,17.32
1986-01-31,22.18
1985-12-31,26.68
1985-11-30,29.82
1985-10-31,28.54
1985-09-30,27.72
1985-08-31,27.34
1985-07-31,26.81
1985-06-30,26.44
1985-05-31,26.67
1985-04-30,27.98
1985-03-31,28.22
1985-02-28,28.17
1985-01-31,26.94
1984-12-31,27.07
1984-11-30,27.62
1984-10-31,27.97
1984-09-30,28.26
1984-08-31,28.18
1984-07-31,27.81
1984-06-30,29.03
1984-05-31,29.7
1984-04-30,30.01
1984-03-31,30.03
1984-02-29,29.73
1984-01-31,29.51
1983-12-31,28.85
1983-11-30,28.95
1983-10-31,29.62
1983-09-30,30.36
1983-08-31,31.15
1983-07-31,30.79
1983-06-30,30.17
1983-05-31,29.6
1983-04-30,29.75
1983-03-31,28.2
1983-02-28,29.1
1983-01-31,30.85
1982-12-31,31.75
1982-11-30,33.8
1982-10-31,35.0
1982-09-30,34.25
1982-08-31,32.85
1982-07-31,33.7
1982-06-30,34.6
1982-05-31,35.18
1982-04-30,33.12
1982-03-31,29.3
1982-02-28,31.62
1982-01-31,35.85
1981-12-31,36.7
1981-11-30,37.12
1981-10-31,36.54
1981-09-30,35.91
1981-08-31,35.8
1981-07-31,35.06
1981-06-30,33.25
1981-05-31,35.19
1981-04-30,37.19
1981-03-31,38.35
1981-02-28,38.7
1981-01-31,40.3
1980-12-31,40.15
1980-11-30,40.85
1980-10-31,37.9
1980-09-30,33.4
1980-08-31,33.6
1980-07-31,37.4
1980-06-30,38.0
1980-05-31,38.5
1980-04-30,38.15
1980-03-31,38.25
1980-02-29,38.5
1980-01-31,40.0
